Date,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,Daily Return,Signal,Position,Action,Market Return,Strategy Return,Portfolio Value,Buy Hold Value
2025-01-01,3851.036376953125,4112.4501953125,4134.0,4085.449951171875,4094.39990234375,763161,,,0.0,0,0.0,HOLD,0.0,0.0,100000.0,100000.0
2025-01-02,3910.3125,4175.75,4183.0,4096.9501953125,4120.0,1720835,,,0.015392236180671759,0,0.0,HOLD,0.015392236180671759,0.0,100000.0,101539.22361806718
2025-01-03,3839.283935546875,4099.89990234375,4179.9501953125,4092.300048828125,4179.9501953125,1791953,,,-0.018164424991019557,0,0.0,HOLD,-0.018164424991019557,-0.0,100000.0,99694.82200701043
2025-01-06,3834.695556640625,4095.0,4149.64990234375,4066.39990234375,4105.5,2085593,,,-0.0011951273105348381,0,0.0,HOLD,-0.0011951273105348381,-0.0,100000.0,99575.67400251093
2025-01-07,3772.2353515625,4028.300048828125,4140.35009765625,4011.550048828125,4114.9501953125,2669054,,,-0.016288144364316248,0,0.0,HOLD,-0.016288144364316248,-0.0,100000.0,97953.77104918395
2025-01-08,3847.2431640625,4108.39990234375,4126.0,4017.75,4034.89990234375,2181277,,,0.01988428184214497,0,0.0,HOLD,0.01988428184214497,0.0,100000.0,99901.51144022687
2025-01-09,3782.11474609375,4038.85009765625,4137.75,4025.300048828125,4101.0,2392472,,,-0.016928684242209058,0,0.0,HOLD,-0.016928684242209058,-0.0,100000.0,98210.31029773582
2025-01-10,3994.497802734375,4265.64990234375,4297.0,4170.0,4200.0,7894300,,,0.056154548746216726,0,0.0,HOLD,0.056154548746216726,0.0,100000.0,103725.2659547311
2025-01-13,4018.330322265625,4291.10009765625,4322.9501953125,4227.39990234375,4245.0,4003771,,,0.005966311323045259,0,0.0,HOLD,0.005966311323045259,0.0,100000.0,104344.12318348269
2025-01-14,3963.969970703125,4233.0498046875,4313.89990234375,4219.0498046875,4302.0,3441709,,,-0.013528067779275621,0,0.0,HOLD,-0.013528067779275621,-0.0,100000.0,102932.54881268746
2025-01-15,3979.46826171875,4249.60009765625,4256.4501953125,4207.4501953125,4218.0,1653474,,,0.003909779882680153,0,0.0,HOLD,0.003909779882680153,0.0,100000.0,103334.99242130828
2025-01-16,3938.920166015625,4206.2998046875,4294.0,4191.85009765625,4260.0,2637705,,,-0.010189262983270164,0,0.0,HOLD,-0.010189262983270164,-0.0,100000.0,102282.08500815334
